osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed,junction,access,est_width,tunnel,service
179118619,Via San Martino,tertiary,False,False,130.58800000000002,SP19,"LINESTRING (12.6576322 46.1432385, 12.6574975 46.1434968, 12.6572865 46.1436976, 12.6566213 46.1441579)",,,,,,,,
179118619,Via San Martino,tertiary,False,True,87.809,SP19,"LINESTRING (12.6576322 46.1432385, 12.6576322 46.1430567, 12.6575448 46.1427236, 12.6574637 46.1424602)",,,,,,,,
743622538,Via San Martino,tertiary,False,True,133.309,SP19,"LINESTRING (12.6537874 46.1474425, 12.6537717 46.1472829, 12.6537883 46.1471068, 12.6538855 46.1468757, 12.6540227 46.1466481, 12.654222 46.1463693, 12.6542728 46.1463159)",,,,,,,,
901928425,Via San Martino,tertiary,False,False,121.536,SP19,"LINESTRING (12.6537874 46.1474425, 12.6538859 46.1479699, 12.6539341 46.148387, 12.6539977 46.1485228)",2,,,,,,,
77512113,Viale Stazione,unclassified,False,False,168.909,,"LINESTRING (12.655481 46.1496028, 12.6566212 46.1483053)",,,50,,,,,
901928425,Via San Martino,tertiary,False,True,165.777,SP19,"LINESTRING (12.655481 46.1496028, 12.6545721 46.1489284, 12.6539977 46.1485228)",2,,,,,,,
1075178267,Via Stazione,tertiary,False,True,293.016,SP19,"LINESTRING (12.655481 46.1496028, 12.6557021 46.1497886, 12.6560262 46.1501429, 12.6564593 46.1505962, 12.6570641 46.1512275, 12.6575363 46.1517196, 12.6575953 46.1517915)",2,,,,,,,
77512113,Viale Stazione,unclassified,False,True,168.909,,"LINESTRING (12.6566212 46.1483053, 12.655481 46.1496028)",,,50,,,,,
28982718,Via dell'Omo,unclassified,False,False,241.613,,"LINESTRING (12.6566212 46.1483053, 12.6567695 46.1483385, 12.6569463 46.1483865, 12.6571601 46.1484847, 12.6580233 46.1489693, 12.6592616 46.1494552)",,,50,,,,,
77512113,Viale Stazione,unclassified,False,False,171.241,,"LINESTRING (12.6566212 46.1483053, 12.6568767 46.1480158, 12.6569498 46.1479815, 12.6570295 46.1479781, 12.6571144 46.1479902, 12.6584722 46.1483952)",,,50,,,,,
77512076,Via dell'Omo,primary,False,False,14.403,,"LINESTRING (12.6618241 46.152631, 12.6618976 46.1527501)",2,,,,,,,
77512112,,primary,True,False,18.144000000000005,NSA30dir,"LINESTRING (12.6618241 46.152631, 12.6617826 46.1526415, 12.6617373 46.152644, 12.6617032 46.1526403, 12.6616495 46.152623, 12.6616285 46.152611, 12.6616149 46.1525965)",2,,,roundabout,,,,
77512156,Via Stazione,tertiary,False,False,21.944,SP19,"LINESTRING (12.658752 46.1534669, 12.6586528 46.1532819)",,,,,,,,
77512156,Via Stazione,tertiary,False,True,23.015,SP19,"LINESTRING (12.658752 46.1534669, 12.6588569 46.1536607)",,,,,,,,
40551685,Via Nuova,residential,False,False,55.602,,"LINESTRING (12.6636249 46.1580291, 12.6629779 46.1578073)",,,,,,,,
"[77512076, 77512188]","['Piazzale San Floriano', ""Via dell'Omo""]",primary,False,True,195.65,,"LINESTRING (12.6636249 46.1580291, 12.663644 46.1579411, 12.6636648 46.1578553, 12.6637444 46.1575265, 12.6637556 46.1574152, 12.6637648 46.1571631, 12.6637419 46.1569554, 12.66365 46.156567, 12.663585 46.1563789, 12.6635544 46.1562903)",2,,,,,,,
383541394,Piazzale San Floriano,unclassified,False,True,28.676000000000002,,"LINESTRING (12.6636249 46.1580291, 12.6638174 46.1579804, 12.6639746 46.1579406)",,,,,,,,
"[77512075, 901928423]","['Piazzale San Floriano', 'Via Giuseppe Verdi']",primary,False,False,172.09300000000002,,"LINESTRING (12.6636249 46.1580291, 12.6635997 46.1580982, 12.6635618 46.1581732, 12.6634654 46.1583004, 12.6633984 46.1584006, 12.6633679 46.158463, 12.6632064 46.1589187, 12.6630256 46.1595134)",2,,,,,,,
28982719,,primary,True,False,46.248,NSA30dir,"LINESTRING (12.6683626 46.1471706, 12.6687485 46.146852)",1,,,,,,,
77512138,,primary,False,False,428.02099999999996,NSA30dir,"LINESTRING (12.6683626 46.1471706, 12.6675319 46.1472631, 12.6669326 46.1473714, 12.6663497 46.1475401, 12.6658378 46.1477939, 12.665372 46.1481383, 12.6650996 46.1484195, 12.6648676 46.1487217, 12.664361 46.1494524)",2,,,,,,,
159007479,,track,False,False,115.81499999999998,,"LINESTRING (12.6144451 46.1509023, 12.6145524 46.1509376, 12.6146623 46.1509636, 12.6147915 46.1509649, 12.6149091 46.1509497, 12.6150137 46.1509209, 12.6150915 46.1509209, 12.6151612 46.1509329, 12.6152417 46.1509608, 12.6154607 46.1510929, 12.6155408 46.151141, 12.6156172 46.1511773, 12.6156856 46.1511949, 12.6157889 46.1512098)",,,,,,,,
159007479,,track,False,True,123.537,,"LINESTRING (12.6144451 46.1509023, 12.614311 46.150814, 12.6142225 46.15071, 12.6140374 46.1505241, 12.613965 46.1504238, 12.6139274 46.150303, 12.6138948 46.1500096, 12.6138776 46.149904)",,,,,,,,
