anno,geometry,accident_count
2018,POINT (664215.2689813377 5104592.977663296),1
2018,POINT (664077.7677162491 5103390.725578674),1
2018,POINT (664122.603774744 5106283.608052894),1
2018,POINT (662871.095015695 5107867.145118958),1
2018,POINT (664290.0823085667 5100497.658748982),1
2018,POINT (664634.869847 5101322.170666721),1
2018,POINT (663605.7326437724 5111526.414107844),1
2018,POINT (663288.1706167014 5104672.265602438),1
2018,POINT (664059.4579548991 5103708.734739502),1
2018,POINT (664700.2568749448 5102466.859791643),1
2018,POINT (664291.6526640287 5101873.015134152),1
2018,POINT (664138.8013304824 5103662.856561041),1
2018,POINT (661736.5243035927 5093598.234990522),1
2018,POINT (663425.108067706 5101671.366815568),1
2018,POINT (664754.3933335119 5102112.997500043),1
2018,POINT (662929.5020901994 5105769.700938389),1
2018,POINT (663169.8616707388 5106834.506065101),1
2018,POINT (664267.98676965 5104416.671009334),1
2018,POINT (663845.9780004185 5104004.635577155),1
2018,POINT (663196.942208427 5107348.6444120165),1
2018,POINT (663912.1707914938 5102877.847087914),1
2018,POINT (664873.8498625846 5103653.132249824),1
2018,POINT (666401.3055165559 5104472.62079156),1
2018,POINT (664266.0452251855 5104416.756147673),1
2018,POINT (663304.148333436 5104807.979166688),1
2018,POINT (663287.2735202282 5104672.564634596),1
2018,POINT (663636.1466666475 5103852.674166717),1
2018,POINT (664675.6322914489 5106688.015299653),1
2018,POINT (664059.8368382569 5106440.018235034),1
2018,POINT (659060.9153432818 5103758.069735496),1
2018,POINT (661889.7286530938 5107121.779099249),1
2018,POINT (661697.0056447528 5109189.134392232),1
2018,POINT (663386.3968900414 5104690.621630186),1
2018,POINT (663805.8220035249 5104952.572756315),1
2018,POINT (662393.421169497 5104719.4031766495),1
2018,POINT (664099.3186702956 5104355.398387248),1
2018,POINT (663187.1149997832 5103771.579166332),1
2018,POINT (666097.8238961721 5101060.315056255),1
2018,POINT (663052.8203083944 5105677.35918291),1
2018,POINT (662244.3116666722 5104754.687499585),1
2018,POINT (660764.6795258597 5105186.131036509),1
2018,POINT (664390.7014930067 5104201.025050338),1
2018,POINT (662214.358444951 5110441.16789993),1
2018,POINT (664584.8054960996 5103140.520308411),1
2018,POINT (665202.9408771384 5105171.94942535),1
2018,POINT (666155.112686531 5104481.407046464),1
2018,POINT (666097.8255653186 5099903.872508163),1
2018,POINT (664082.0993856922 5104527.318059877),1
2018,POINT (663559.5199502334 5109853.902362363),1
2018,POINT (664460.7111360808 5103093.988999612),1
2018,POINT (663809.6371474548 5105711.262680811),1
2018,POINT (664601.1435526889 5097648.886133901),1
2018,POINT (665992.2080746501 5101724.784539269),1
2018,POINT (663816.7410650554 5105765.330464886),1
2018,POINT (663420.9020794319 5101677.7278270135),1
2018,POINT (663598.6285769948 5104365.7147559915),1
2018,POINT (663540.9440321577 5102608.695557573),1
2018,POINT (663423.1027842455 5101674.743211008),1
2018,POINT (663198.0937406638 5102215.539918569),1
2018,POINT (662874.5800312266 5107883.10643444),1
2018,POINT (665326.1660134854 5104620.653094918),1
2018,POINT (664216.6499261889 5103433.734804909),1
2018,POINT (663402.134482997 5105378.58124396),1
2018,POINT (664425.7507604976 5103611.312130252),1
2018,POINT (663860.7317503887 5102597.618358088),1
2018,POINT (663306.7427841089 5107626.100884056),1
2018,POINT (663516.0018137305 5103565.264165447),1
2018,POINT (661513.5316221527 5104939.698294309),1
2018,POINT (664207.1418925929 5102970.579320848),1
2018,POINT (663672.0356454122 5102596.407052488),1
2018,POINT (662662.0251421653 5104766.674948916),1
2018,POINT (663849.6824805246 5105685.855744535),1
2018,POINT (663709.6865819503 5106473.544036048),1
2018,POINT (663231.0441030537 5108072.936707191),1
2018,POINT (664567.4290217067 5104390.924645769),1
2018,POINT (663801.3154509756 5105711.516708764),1
2018,POINT (664378.3658506225 5104254.463796682),1
2018,POINT (663611.894877916 5103917.019050156),1
2018,POINT (663074.8475715822 5107839.8902199725),1
2018,POINT (664955.6932503891 5103181.215215396),1
2018,POINT (663352.6484372406 5106363.470930238),1
2018,POINT (663836.836978227 5105756.438070761),1
2018,POINT (663243.6148252075 5104665.088830652),1
2018,POINT (663271.4461533527 5106865.336711213),1
2018,POINT (666163.8617281524 5104781.108062915),1
2018,POINT (664636.4932043225 5103580.734898855),1
2018,POINT (663281.7433227947 5108135.375828591),1
2018,POINT (664879.686118304 5100229.660606526),1
2018,POINT (658842.6999273861 5106257.308324691),1
2018,POINT (663698.6125419503 5104822.543365543),1
2018,POINT (659187.7975137237 5104098.682185048),1
2018,POINT (664600.6692887989 5103557.395589846),1
2018,POINT (663471.3449999602 5101599.500833299),1
2018,POINT (661877.8120517889 5093217.720184353),1
2018,POINT (663607.8113510169 5105272.8684722325),1
2018,POINT (662016.7618899475 5094068.705398259),1
2018,POINT (664742.2595778462 5103641.178319283),1
2018,POINT (663108.4245418041 5107657.567201497),1
2018,POINT (663474.2134374355 5105588.660065245),1
2018,POINT (664264.1971290535 5104161.519306855),1
2018,POINT (664098.2429958507 5102097.178549274),1
2018,POINT (663528.489999946 5101484.874166833),1
2018,POINT (662436.2768724067 5104666.539850881),1
2018,POINT (663570.9477840435 5103556.228701725),1
2018,POINT (663702.1696440616 5105111.764556587),1
2018,POINT (664515.3877065728 5104025.862442526),1
2018,POINT (664899.1022603735 5102919.623746368),1
2018,POINT (663965.2045976919 5101979.526533329),1
2018,POINT (663396.1321461892 5102051.173294712),1
2018,POINT (665499.9137628302 5104250.773670684),1
2018,POINT (667668.8266408208 5105419.834175861),1
2018,POINT (664915.8856752006 5100862.507791182),1
2018,POINT (662799.1665692066 5108877.411159408),1
2018,POINT (664293.6806419037 5100489.721248973),1
2018,POINT (664331.7354290647 5104214.9052127525),1
2018,POINT (663905.3109581666 5104222.394511843),1
2018,POINT (664410.5398950229 5100372.146565708),1
2018,POINT (661989.9684995046 5104115.859104096),1
2018,POINT (663384.9075197094 5104690.058015818),1
2018,POINT (665534.2281870582 5101144.121896452),1
2018,POINT (666313.2254232786 5097640.614911498),1
2018,POINT (664046.196860561 5102204.733141546),1
2018,POINT (664774.5119522716 5101994.670596419),1
2018,POINT (663399.8777842321 5104778.440473807),1
2018,POINT (663409.8738332936 5101148.44461113),1
2018,POINT (663496.8287247278 5105529.295326593),1
2018,POINT (664016.5749795784 5105616.101681991),1
2018,POINT (663488.9649791342 5106561.810198347),1
2018,POINT (664171.415489891 5104191.819206843),1
2018,POINT (663166.118567544 5105985.324126326),1
2018,POINT (663284.4327147303 5104676.003504408),1
2018,POINT (664592.6303765852 5102178.664049063),1
2018,POINT (664814.1927127548 5102782.158208232),1
2018,POINT (663491.8716665752 5101546.25750023),1
2018,POINT (661730.8392220401 5104948.24716792),1
2018,POINT (663228.1783331586 5102947.772498825),1
2018,POINT (664449.884715876 5100103.792403192),1
2018,POINT (664690.4406811114 5097173.172319989),1
2018,POINT (664328.5530161726 5105578.4163436005),1
2018,POINT (663815.0038141779 5105764.342887555),1
2018,POINT (663362.2333332603 5104609.70083382),1
2018,POINT (664217.623291458 5103436.0193941705),1
2018,POINT (663938.9886640747 5102667.099625972),1
2018,POINT (663752.6943298755 5103801.576342064),1
2018,POINT (664580.5888149301 5110681.341948677),1
2018,POINT (664121.0543084152 5105037.875454554),1
2018,POINT (663455.2962358237 5105593.19778972),1
2018,POINT (664219.5022598548 5103463.879589991),1
2018,POINT (664136.4686061512 5102933.821595758),1
