osmid,y,x,street_count,highway,ref,geometry,lts,message
4706611944,46.112383,12.6969975,1,,,POINT (12.6969975 46.112383),,Node not found in edges
4706611946,46.1122857,12.6966914,3,,,POINT (12.6966914 46.1122857),2.0,Node LTS is max intersecting LTS
4706611947,46.1192104,12.6916664,1,,,POINT (12.6916664 46.1192104),,Node not found in edges
4706611949,46.1190652,12.6912116,3,,,POINT (12.6912116 46.1190652),2.0,Node LTS is max intersecting LTS
4730469093,46.1549814,12.623052,3,,,POINT (12.623052 46.1549814),,Node not found in edges
4758317284,46.125341,12.6277158,1,,,POINT (12.6277158 46.125341),,Node not found in edges
4758331326,46.1137139,12.6379413,1,,,POINT (12.6379413 46.1137139),,Node not found in edges
4758331344,46.1143302,12.6396988,3,,,POINT (12.6396988 46.1143302),4.0,Node LTS is max intersecting LTS
4758331345,46.1146259,12.6404398,1,,,POINT (12.6404398 46.1146259),,Node not found in edges
4758331352,46.1143416,12.6396836,3,,,POINT (12.6396836 46.1143416),4.0,Node LTS is max intersecting LTS
4758331353,46.1129581,12.6406175,1,,,POINT (12.6406175 46.1129581),,Node not found in edges
4758331357,46.1131763,12.6409787,3,,,POINT (12.6409787 46.1131763),3.0,Node LTS is max intersecting LTS
4782247203,46.1321531,12.632092,1,,,POINT (12.632092 46.1321531),,Node not found in edges
4782247209,46.1319543,12.6294513,1,,,POINT (12.6294513 46.1319543),,Node not found in edges
4782247213,46.1318691,12.6301976,4,,,POINT (12.6301976 46.1318691),,Node not found in edges
4782254022,46.1311996,12.6316709,3,,,POINT (12.6316709 46.1311996),,Node not found in edges
4782254026,46.1278499,12.631589,1,,,POINT (12.631589 46.1278499),,Node not found in edges
4782254056,46.1308371,12.6322489,3,,,POINT (12.6322489 46.1308371),,Node not found in edges
4922167481,46.1136147,12.6687776,3,,,POINT (12.6687776 46.1136147),2.0,Node LTS is max intersecting LTS
4922167487,46.1168398,12.667782,3,,,POINT (12.667782 46.1168398),2.0,Node LTS is max intersecting LTS
4922167488,46.1323373,12.6738057,3,,,POINT (12.6738057 46.1323373),2.0,Node LTS is max intersecting LTS
4922167503,46.1307147,12.6675173,3,,,POINT (12.6675173 46.1307147),2.0,Node LTS is max intersecting LTS
4922167504,46.1275911,12.6601551,3,,,POINT (12.6601551 46.1275911),2.0,Node LTS is max intersecting LTS
4922167523,46.128993,12.6694785,3,,,POINT (12.6694785 46.128993),2.0,Node LTS is max intersecting LTS
4922167524,46.1289614,12.6693153,3,,,POINT (12.6693153 46.1289614),,Node not found in edges
5018109329,46.1302234,12.6380707,3,,,POINT (12.6380707 46.1302234),2.0,Node LTS is max intersecting LTS
5018109342,46.1307897,12.6378544,3,,,POINT (12.6378544 46.1307897),,Node not found in edges
5018109350,46.1304101,12.6374765,3,,,POINT (12.6374765 46.1304101),2.0,Node LTS is max intersecting LTS
5046270217,46.1506164,12.6393084,3,,,POINT (12.6393084 46.1506164),,Node not found in edges
5046272249,46.1521285,12.6392949,3,,,POINT (12.6392949 46.1521285),,Node not found in edges
5064791267,46.1348489,12.6745875,3,,,POINT (12.6745875 46.1348489),2.0,Node LTS is max intersecting LTS
5064791294,46.1425583,12.6718753,3,,,POINT (12.6718753 46.1425583),2.0,Node LTS is max intersecting LTS
5064791307,46.1432114,12.6747426,3,,,POINT (12.6747426 46.1432114),3.0,Node LTS is max intersecting LTS
5074943143,46.1516052,12.6411541,3,,,POINT (12.6411541 46.1516052),2.0,Node LTS is max intersecting LTS
5224857291,46.1191851,12.6524278,1,,,POINT (12.6524278 46.1191851),,Node not found in edges
5224857303,46.1188258,12.6551531,3,,,POINT (12.6551531 46.1188258),3.0,Node LTS is max intersecting LTS
5264245456,46.0979658,12.6771822,3,,,POINT (12.6771822 46.0979658),2.0,Node LTS is max intersecting LTS
5264245484,46.0980038,12.6731278,3,,,POINT (12.6731278 46.0980038),2.0,Node LTS is max intersecting LTS
5368161764,46.1511658,12.6323975,3,,,POINT (12.6323975 46.1511658),,Node not found in edges
5368164781,46.1550578,12.6356667,1,,,POINT (12.6356667 46.1550578),,Node not found in edges
5368164799,46.1524899,12.6338588,3,,,POINT (12.6338588 46.1524899),,Node not found in edges
5774515715,46.1184321,12.659356,1,,,POINT (12.659356 46.1184321),,Node not found in edges
5774515722,46.1163709,12.6582564,3,,,POINT (12.6582564 46.1163709),3.0,Node LTS is max intersecting LTS
5808412656,46.116266,12.6480746,1,,,POINT (12.6480746 46.116266),,Node not found in edges
5808412666,46.116198,12.6493708,3,,,POINT (12.6493708 46.116198),2.0,Node LTS is max intersecting LTS
5808412702,46.1163765,12.6553546,3,,,POINT (12.6553546 46.1163765),4.0,Node LTS is max intersecting LTS
5983602312,46.17853,12.6077661,3,,,POINT (12.6077661 46.17853),2.0,Node LTS is max intersecting LTS
5983602635,46.1637412,12.6574729,3,,,POINT (12.6574729 46.1637412),,Node not found in edges
6036906491,46.1733931,12.6608044,1,,,POINT (12.6608044 46.1733931),2.0,Node LTS is max intersecting LTS
6073984249,46.0973012,12.6832136,3,,,POINT (12.6832136 46.0973012),3.0,Node LTS is max intersecting LTS
6073984250,46.0978402,12.6831618,1,,,POINT (12.6831618 46.0978402),,Node not found in edges
6152618010,46.1507541,12.6010162,3,,,POINT (12.6010162 46.1507541),,Node not found in edges
6174606049,46.1326669,12.6830784,3,,,POINT (12.6830784 46.1326669),4.0,Node LTS is max intersecting LTS
6174606052,46.1327912,12.6834466,3,,,POINT (12.6834466 46.1327912),3.0,Node LTS is max intersecting LTS
6174606057,46.1329483,12.6841905,3,,,POINT (12.6841905 46.1329483),2.0,Node LTS is max intersecting LTS
6174606077,46.1331788,12.687072,1,,,POINT (12.687072 46.1331788),,Node not found in edges
6414683935,46.1584354,12.6617085,1,,,POINT (12.6617085 46.1584354),,Node not found in edges
6514628942,46.1632335,12.6565302,3,,,POINT (12.6565302 46.1632335),4.0,Node LTS is max intersecting LTS
6532424818,46.1486004,12.6586617,1,,,POINT (12.6586617 46.1486004),3.0,Node LTS is max intersecting LTS
6532424819,46.148456,12.6587113,3,,,POINT (12.6587113 46.148456),3.0,Node LTS is max intersecting LTS
6532722873,46.1609194,12.6615905,1,,,POINT (12.6615905 46.1609194),3.0,Node LTS is max intersecting LTS
6532722874,46.1609136,12.661459,4,crossing,,POINT (12.661459 46.1609136),4.0,Node LTS is max intersecting LTS
6532827527,46.1608319,12.6617816,1,,,POINT (12.6617816 46.1608319),,Node not found in edges
6532857567,46.1600932,12.6615508,3,,,POINT (12.6615508 46.1600932),4.0,Node LTS is max intersecting LTS
6551563876,46.1600628,12.6657993,3,,,POINT (12.6657993 46.1600628),2.0,Node LTS is max intersecting LTS
6579579830,46.1538668,12.6726544,1,,,POINT (12.6726544 46.1538668),2.0,Node LTS is max intersecting LTS
6587363231,46.1571995,12.6516047,3,,,POINT (12.6516047 46.1571995),,Node not found in edges
6587363236,46.1570651,12.6523205,3,,,POINT (12.6523205 46.1570651),,Node not found in edges
6587363237,46.1570739,12.6551244,4,,,POINT (12.6551244 46.1570739),4.0,Node LTS is max intersecting LTS
6684814122,46.1364488,12.6445904,1,,,POINT (12.6445904 46.1364488),,Node not found in edges
6684814127,46.1367,12.6440814,3,,,POINT (12.6440814 46.1367),,Node not found in edges
6684814128,46.1477119,12.645216,3,,,POINT (12.645216 46.1477119),1.0,Node LTS is max intersecting LTS
6684814177,46.1467185,12.6462024,1,,,POINT (12.6462024 46.1467185),,Node not found in edges
6684814180,46.1464849,12.6458387,3,,,POINT (12.6458387 46.1464849),1.0,Node LTS is max intersecting LTS
6684822524,46.1474648,12.6376011,3,,,POINT (12.6376011 46.1474648),2.0,Node LTS is max intersecting LTS
6684822539,46.1487346,12.6396446,1,,,POINT (12.6396446 46.1487346),,Node not found in edges
6684822544,46.1489558,12.6390007,1,,,POINT (12.6390007 46.1489558),,Node not found in edges
6684822547,46.148809,12.6387861,4,,,POINT (12.6387861 46.148809),,Node not found in edges
6684822551,46.1489322,12.6381456,3,,,POINT (12.6381456 46.1489322),2.0,Node LTS is max intersecting LTS
6684822552,46.1462007,12.640049,3,,,POINT (12.640049 46.1462007),4.0,Node LTS is max intersecting LTS
6684822566,46.1480409,12.6363063,3,,,POINT (12.6363063 46.1480409),2.0,Node LTS is max intersecting LTS
6812232287,46.152049,12.6578135,3,,,POINT (12.6578135 46.152049),3.0,Node LTS is max intersecting LTS
6812232290,46.1524896,12.658134,3,,,POINT (12.658134 46.1524896),3.0,Node LTS is max intersecting LTS
6846230087,46.1575568,12.6481766,3,,,POINT (12.6481766 46.1575568),,Node not found in edges
6846230090,46.1553551,12.6480746,1,,,POINT (12.6480746 46.1553551),,Node not found in edges
6846230094,46.1563579,12.650454,3,,,POINT (12.650454 46.1563579),,Node not found in edges
6846230107,46.1573803,12.6480478,3,,,POINT (12.6480478 46.1573803),,Node not found in edges
6846230131,46.1562135,12.6468623,3,,,POINT (12.6468623 46.1562135),,Node not found in edges
6846230132,46.1562915,12.646873,3,,,POINT (12.646873 46.1562915),,Node not found in edges
6846230139,46.1557044,12.6459932,3,,,POINT (12.6459932 46.1557044),,Node not found in edges
6897634855,46.1551823,12.6371554,1,,,POINT (12.6371554 46.1551823),,Node not found in edges
6897634863,46.1545889,12.6370226,3,,,POINT (12.6370226 46.1545889),4.0,Node LTS is max intersecting LTS
7427622868,46.1576437,12.6476564,1,,,POINT (12.6476564 46.1576437),,Node not found in edges
7511316339,46.1532063,12.6555009,3,,,POINT (12.6555009 46.1532063),2.0,Node LTS is max intersecting LTS
7511316343,46.1538558,12.6563879,1,,,POINT (12.6563879 46.1538558),2.0,Node LTS is max intersecting LTS
7511316344,46.1535841,12.6560168,3,,,POINT (12.6560168 46.1535841),2.0,Node LTS is max intersecting LTS
7511316349,46.1540906,12.6552463,1,,,POINT (12.6552463 46.1540906),2.0,Node LTS is max intersecting LTS
7511685673,46.152695,12.6553049,1,,,POINT (12.6553049 46.152695),,Node not found in edges
7511685674,46.1523026,12.6557212,1,,,POINT (12.6557212 46.1523026),,Node not found in edges
7511685675,46.1530048,12.655778,3,,,POINT (12.655778 46.1530048),2.0,Node LTS is max intersecting LTS
7511685676,46.152673,12.6562645,3,,,POINT (12.6562645 46.152673),2.0,Node LTS is max intersecting LTS
7813371634,46.1596673,12.6422627,1,,,POINT (12.6422627 46.1596673),,Node not found in edges
8411749049,46.1601302,12.6618949,3,,,POINT (12.6618949 46.1601302),2.0,Node LTS is max intersecting LTS
8411749055,46.1604521,12.6619563,1,,,POINT (12.6619563 46.1604521),,Node not found in edges
8462995353,46.1057649,12.6828535,3,,,POINT (12.6828535 46.1057649),3.0,Node LTS is max intersecting LTS
8462995357,46.1061654,12.6831686,1,,,POINT (12.6831686 46.1061654),,Node not found in edges
8462995362,46.1059515,12.6828897,3,,,POINT (12.6828897 46.1059515),,Node not found in edges
8462995412,46.105021,12.7021057,3,,,POINT (12.7021057 46.105021),2.0,Node LTS is max intersecting LTS
8463034246,46.1030262,12.690137,3,,,POINT (12.690137 46.1030262),,Node not found in edges
8463034272,46.1060185,12.6882943,3,,,POINT (12.6882943 46.1060185),,Node not found in edges
8463034284,46.1083106,12.6997694,3,,,POINT (12.6997694 46.1083106),2.0,Node LTS is max intersecting LTS
8668995687,46.0897625,12.6946964,3,,,POINT (12.6946964 46.0897625),2.0,Node LTS is max intersecting LTS
8668995692,46.0875224,12.6951367,3,,,POINT (12.6951367 46.0875224),2.0,Node LTS is max intersecting LTS
8752945336,46.1491449,12.6316685,3,,,POINT (12.6316685 46.1491449),4.0,Node LTS is max intersecting LTS
8752945346,46.149085,12.632723,1,,,POINT (12.632723 46.149085),,Node not found in edges
8752945347,46.1442329,12.6315678,3,,,POINT (12.6315678 46.1442329),3.0,Node LTS is max intersecting LTS
8752945384,46.145382,12.6325772,3,,,POINT (12.6325772 46.145382),4.0,Node LTS is max intersecting LTS
8752945404,46.1470691,12.6320614,3,,,POINT (12.6320614 46.1470691),2.0,Node LTS is max intersecting LTS
9029651900,46.0948546,12.7058061,3,,,POINT (12.7058061 46.0948546),2.0,Node LTS is max intersecting LTS
9029659089,46.0846433,12.7183968,1,,,POINT (12.7183968 46.0846433),,Node not found in edges
9029659094,46.0834527,12.7188849,1,,,POINT (12.7188849 46.0834527),,Node not found in edges
9029659099,46.0833299,12.7175546,3,,,POINT (12.7175546 46.0833299),,Node not found in edges
9029659100,46.0831525,12.7174672,3,,,POINT (12.7174672 46.0831525),2.0,Node LTS is max intersecting LTS
9029660131,46.0939718,12.6862703,3,,,POINT (12.6862703 46.0939718),3.0,Node LTS is max intersecting LTS
9029669236,46.1602953,12.6581411,3,,,POINT (12.6581411 46.1602953),,Node not found in edges
9098611989,46.0978833,12.6732052,3,,,POINT (12.6732052 46.0978833),2.0,Node LTS is max intersecting LTS
9098612000,46.098054,12.6674026,3,,,POINT (12.6674026 46.098054),,Node not found in edges
9098626314,46.0961394,12.6821981,3,,,POINT (12.6821981 46.0961394),2.0,Node LTS is max intersecting LTS
9098629573,46.0983347,12.6793749,4,,,POINT (12.6793749 46.0983347),3.0,Node LTS is max intersecting LTS
