osmid,y,x,street_count,highway,geometry,lts,message
7117490572,45.8699953,11.0441767,3,,POINT (11.0441767 45.8699953),,Node not found in edges
7117490574,45.8695604,11.0474231,3,,POINT (11.0474231 45.8695604),,Node not found in edges
7117497079,45.8752235,11.0489825,3,,POINT (11.0489825 45.8752235),,Node not found in edges
7126193723,45.8979079,11.075608,3,,POINT (11.075608 45.8979079),,Node not found in edges
7126193726,45.897856,11.0758717,4,,POINT (11.0758717 45.897856),,Node not found in edges
7126619758,45.8716443,11.0423441,3,,POINT (11.0423441 45.8716443),,Node not found in edges
7126636036,45.8704449,11.0361434,3,,POINT (11.0361434 45.8704449),3.0,Node LTS is max intersecting LTS
7164462410,45.8597403,10.9987665,3,,POINT (10.9987665 45.8597403),2.0,Node LTS is max intersecting LTS
7164462411,45.8599948,10.9985174,4,,POINT (10.9985174 45.8599948),2.0,Node LTS is max intersecting LTS
7164462416,45.8589227,10.9993181,1,,POINT (10.9993181 45.8589227),2.0,Node LTS is max intersecting LTS
7200007470,45.8914403,11.0303931,3,,POINT (11.0303931 45.8914403),,Node not found in edges
7200007471,45.8913054,11.0304343,3,,POINT (11.0304343 45.8913054),,Node not found in edges
7200007473,45.8907046,11.0294116,3,,POINT (11.0294116 45.8907046),3.0,Node LTS is max intersecting LTS
7485610493,45.8936751,11.066834,3,,POINT (11.066834 45.8936751),3.0,Node LTS is max intersecting LTS
7485610504,45.8937419,11.0652199,1,,POINT (11.0652199 45.8937419),2.0,Node LTS is max intersecting LTS
7485610589,45.8990396,11.0616768,1,,POINT (11.0616768 45.8990396),2.0,Node LTS is max intersecting LTS
7485622892,45.8883863,11.0504817,3,,POINT (11.0504817 45.8883863),3.0,Node LTS is max intersecting LTS
7485622916,45.8917817,11.0543194,3,,POINT (11.0543194 45.8917817),2.0,Node LTS is max intersecting LTS
7485622950,45.891974,11.0562211,1,,POINT (11.0562211 45.891974),2.0,Node LTS is max intersecting LTS
7485622953,45.8956534,11.0598234,1,,POINT (11.0598234 45.8956534),2.0,Node LTS is max intersecting LTS
7485713151,45.8972512,11.055202,3,,POINT (11.055202 45.8972512),3.0,Node LTS is max intersecting LTS
7485713154,45.8983284,11.0562479,1,,POINT (11.0562479 45.8983284),2.0,Node LTS is max intersecting LTS
7485986027,45.9018077,11.0476944,1,,POINT (11.0476944 45.9018077),2.0,Node LTS is max intersecting LTS
7485986037,45.9000779,11.0449029,3,,POINT (11.0449029 45.9000779),2.0,Node LTS is max intersecting LTS
7485986043,45.9004657,11.0444596,1,,POINT (11.0444596 45.9004657),2.0,Node LTS is max intersecting LTS
7486001497,45.9015277,11.0579431,1,,POINT (11.0579431 45.9015277),2.0,Node LTS is max intersecting LTS
7486001505,45.893389,11.0520637,1,,POINT (11.0520637 45.893389),2.0,Node LTS is max intersecting LTS
7486001611,45.8992785,11.0648176,1,,POINT (11.0648176 45.8992785),2.0,Node LTS is max intersecting LTS
7486001618,45.8988455,11.0613441,1,,POINT (11.0613441 45.8988455),2.0,Node LTS is max intersecting LTS
7486001626,45.8998077,11.06143,1,,POINT (11.06143 45.8998077),2.0,Node LTS is max intersecting LTS
7486001688,45.9016117,11.0680604,1,,POINT (11.0680604 45.9016117),2.0,Node LTS is max intersecting LTS
7528813712,45.85904,11.0332222,1,,POINT (11.0332222 45.85904),,Node not found in edges
7528813733,45.8572064,11.0352896,3,,POINT (11.0352896 45.8572064),3.0,Node LTS is max intersecting LTS
7562191248,45.9023367,11.1151817,1,,POINT (11.1151817 45.9023367),,Node not found in edges
7596602155,45.8881797,11.0339929,4,,POINT (11.0339929 45.8881797),2.0,Node LTS is max intersecting LTS
7659399674,45.9072061,11.0400402,3,,POINT (11.0400402 45.9072061),3.0,Node LTS is max intersecting LTS
7660552425,45.8262819,11.0522781,3,,POINT (11.0522781 45.8262819),3.0,Node LTS is max intersecting LTS
7660552446,45.8466775,11.0501174,4,,POINT (11.0501174 45.8466775),3.0,Node LTS is max intersecting LTS
7660597057,45.8432751,11.05191,3,,POINT (11.05191 45.8432751),3.0,Node LTS is max intersecting LTS
7728350567,45.8997961,11.0388753,3,,POINT (11.0388753 45.8997961),2.0,Node LTS is max intersecting LTS
7728350569,45.898602,11.0388049,3,,POINT (11.0388049 45.898602),,Node not found in edges
7796412007,45.8925719,11.0342738,3,,POINT (11.0342738 45.8925719),3.0,Node LTS is max intersecting LTS
