geometry
"LINESTRING (11.1183054 46.0573083, 11.1182458 46.0564311, 11.1182516 46.0564056, 11.1182989 46.056195, 11.1183886 46.0557726, 11.1184001 46.0557213, 11.118423 46.0555867, 11.118424 46.0555678, 11.1184206 46.0554826, 11.1183344 46.0551998, 11.1182918 46.0551188, 11.1182513 46.055052, 11.1181893 46.0539874, 11.1184937 46.0534403, 11.1185143 46.0534124, 11.1186736 46.0530782, 11.1187289 46.0529696, 11.1188443 46.052673)"
"LINESTRING (11.1063575 46.1135772, 11.1063567 46.1136254, 11.1065624 46.1137222, 11.1067071 46.1136888, 11.1070373 46.1137536, 11.1071875 46.1139341, 11.1071977 46.1140478, 11.107374 46.1140964, 11.1074248 46.1140979)"
"LINESTRING (11.1260448 46.0597796, 11.1261955 46.0596321, 11.1268623 46.0590016, 11.1269427 46.0589328, 11.1269858 46.0588897, 11.1270101 46.0588684, 11.1272197 46.0586907, 11.1275285 46.0584316, 11.1276685 46.0583533, 11.127808 46.0582696, 11.1287822 46.0577046, 11.1296561 46.0571856, 11.129723 46.0571459, 11.1298544 46.0570681, 11.1299631 46.0570046, 11.1307749 46.0565266, 11.130984 46.0564346, 11.1309862 46.0563647)"
"LINESTRING (11.1260448 46.0597796, 11.1261955 46.0596321, 11.1268623 46.0590016, 11.1269427 46.0589328, 11.1269858 46.0588897, 11.1270101 46.0588684, 11.1272197 46.0586907, 11.1275285 46.0584316, 11.1276685 46.0583533, 11.127808 46.0582696, 11.1287822 46.0577046, 11.1296561 46.0571856, 11.129723 46.0571459, 11.1298544 46.0570681, 11.1299631 46.0570046, 11.1307749 46.0565266, 11.130984 46.0564346, 11.1309862 46.0563647, 11.1310273 46.0563309, 11.1311518 46.056305, 11.131325 46.0562111)"
"LINESTRING (11.1249637 46.0609884, 11.1250504 46.061027, 11.1257935 46.0613941, 11.1263513 46.0616697)"
"LINESTRING (11.123708 46.0509533, 11.1237992 46.05105, 11.1240869 46.0512412, 11.124262 46.0513955, 11.1243117 46.0514836, 11.1243422 46.05162, 11.1243239 46.0518446, 11.1242814 46.0523297, 11.1243317 46.0524461, 11.1242104 46.0524638, 11.1237744 46.0524427, 11.1233056 46.0524421)"
"LINESTRING (11.1312341 46.0424404, 11.1313747 46.0427918, 11.131369 46.0430128, 11.1313335 46.0433922, 11.1312561 46.0439492, 11.1311865 46.0442009, 11.1311505 46.0443905, 11.1310998 46.0447673, 11.1310823 46.0448958, 11.1310353 46.0452517, 11.1310154 46.0454801, 11.1310168 46.0463266, 11.1310226 46.0464291, 11.1310253 46.046459, 11.1310406 46.0466377, 11.1310776 46.0470708, 11.1311096 46.0475459, 11.1311328 46.0478566, 11.1311986 46.0486721, 11.1312023 46.0487154, 11.1312109 46.0488264, 11.1312255 46.0489929)"
"LINESTRING (11.1312341 46.0424404, 11.1313747 46.0427918, 11.131369 46.0430128, 11.1313335 46.0433922, 11.1312561 46.0439492, 11.1311865 46.0442009, 11.1311505 46.0443905, 11.1310998 46.0447673, 11.1310823 46.0448958, 11.1310353 46.0452517, 11.1310154 46.0454801, 11.1310168 46.0463266, 11.1310226 46.0464291, 11.1310253 46.046459, 11.1310406 46.0466377, 11.1310776 46.0470708, 11.1311096 46.0475459, 11.1311328 46.0478566, 11.1311986 46.0486721, 11.1312023 46.0487154, 11.1312109 46.0488264, 11.1312255 46.0489929, 11.1312417 46.0495654)"
"LINESTRING (11.1312341 46.0424404, 11.1313747 46.0427918, 11.131369 46.0430128, 11.1313335 46.0433922, 11.1312561 46.0439492, 11.1311865 46.0442009, 11.1311505 46.0443905, 11.1310998 46.0447673, 11.1310823 46.0448958, 11.1310353 46.0452517, 11.1310154 46.0454801, 11.1310168 46.0463266, 11.1310226 46.0464291, 11.1310253 46.046459, 11.1310406 46.0466377, 11.1310776 46.0470708, 11.1311096 46.0475459, 11.1311328 46.0478566, 11.1311986 46.0486721, 11.1312023 46.0487154, 11.1312109 46.0488264, 11.1312255 46.0489929, 11.1312417 46.0495654, 11.131033 46.0498936, 11.1311194 46.0500375)"
"LINESTRING (11.1312341 46.0424404, 11.1313747 46.0427918, 11.131369 46.0430128, 11.1313335 46.0433922, 11.1312561 46.0439492, 11.1311865 46.0442009, 11.1311505 46.0443905, 11.1310998 46.0447673, 11.1310823 46.0448958, 11.1310353 46.0452517, 11.1310154 46.0454801, 11.1310168 46.0463266, 11.1310226 46.0464291, 11.1310253 46.046459, 11.1310406 46.0466377, 11.1310776 46.0470708, 11.1311096 46.0475459, 11.1311328 46.0478566, 11.1311986 46.0486721, 11.1312023 46.0487154, 11.1312109 46.0488264, 11.1312255 46.0489929, 11.1312417 46.0495654, 11.131033 46.0498936, 11.1311194 46.0500375, 11.1308952 46.0501293, 11.1307601 46.0503854, 11.1302907 46.0510874, 11.1301972 46.0512508, 11.130014 46.051662, 11.1298749 46.0520318, 11.129793 46.0524964, 11.1297846 46.0527396, 11.1297828 46.0528645, 11.1297843 46.0532116, 11.1298693 46.0532084)"
"LINESTRING (11.1312341 46.0424404, 11.1313747 46.0427918, 11.131369 46.0430128, 11.1313335 46.0433922, 11.1312561 46.0439492, 11.1311865 46.0442009, 11.1311505 46.0443905, 11.1310998 46.0447673, 11.1310823 46.0448958, 11.1310353 46.0452517, 11.1310154 46.0454801, 11.1310168 46.0463266, 11.1310226 46.0464291, 11.1310253 46.046459, 11.1310406 46.0466377, 11.1310776 46.0470708, 11.1311096 46.0475459, 11.1311328 46.0478566, 11.1311986 46.0486721, 11.1312023 46.0487154, 11.1312109 46.0488264, 11.1312255 46.0489929, 11.1312417 46.0495654, 11.131033 46.0498936, 11.1311194 46.0500375, 11.1308952 46.0501293, 11.1307601 46.0503854, 11.1302907 46.0510874, 11.1301972 46.0512508, 11.130014 46.051662, 11.1298749 46.0520318, 11.129793 46.0524964, 11.1297846 46.0527396, 11.1297828 46.0528645, 11.1297843 46.0532116, 11.1297847 46.0532884, 11.1297706 46.0536077, 11.1295641 46.054411, 11.1295006 46.0546273)"
"LINESTRING (11.1313806 46.0562497, 11.1313482 46.0563502, 11.1313633 46.05643, 11.1312298 46.0564851, 11.130984 46.0564346, 11.1309862 46.0563647)"
"LINESTRING (11.1313806 46.0562497, 11.1313482 46.0563502, 11.1313633 46.05643, 11.1312298 46.0564851, 11.130984 46.0564346, 11.1307749 46.0565266, 11.1299631 46.0570046, 11.1298544 46.0570681, 11.129723 46.0571459, 11.1296561 46.0571856, 11.1287822 46.0577046, 11.127808 46.0582696, 11.1276685 46.0583533, 11.1275285 46.0584316, 11.1272197 46.0586907, 11.1270101 46.0588684, 11.1269858 46.0588897, 11.1269427 46.0589328)"
"LINESTRING (11.118826 46.0588162, 11.1187043 46.0587177, 11.1185236 46.0583485, 11.1184338 46.0581253, 11.1183545 46.0578751, 11.1182638 46.0576447, 11.1182566 46.0576401, 11.1182024 46.0574948, 11.1183492 46.057411, 11.1184867 46.0574325, 11.1186109 46.0573397, 11.1188343 46.0571449, 11.1193971 46.0567462, 11.1195372 46.0566478, 11.1196934 46.056531, 11.1200801 46.0559815, 11.1201007 46.0558997, 11.1201288 46.0557866, 11.1202652 46.0552696, 11.1203604 46.0549738, 11.1204256 46.0547863, 11.1204459 46.0546949, 11.1204497 46.0546781, 11.1204529 46.0546634, 11.1205083 46.054414, 11.1205717 46.054129, 11.1206423 46.0539002)"
"LINESTRING (11.118826 46.0588162, 11.1187043 46.0587177, 11.1185236 46.0583485, 11.1184338 46.0581253, 11.1183545 46.0578751, 11.1182638 46.0576447, 11.1182566 46.0576401, 11.1182024 46.0574948, 11.1183492 46.057411, 11.1184867 46.0574325, 11.1186109 46.0573397, 11.1188343 46.0571449, 11.1193971 46.0567462, 11.1195372 46.0566478, 11.1196934 46.056531, 11.1200801 46.0559815, 11.1201007 46.0558997, 11.1201288 46.0557866, 11.1202652 46.0552696, 11.1203604 46.0549738, 11.1204256 46.0547863, 11.1204459 46.0546949, 11.1204497 46.0546781, 11.1204529 46.0546634, 11.1205083 46.054414, 11.1205717 46.054129, 11.1206423 46.0539002, 11.1206937 46.0536506, 11.1208209 46.0531283)"
"LINESTRING (11.118826 46.0588162, 11.1187043 46.0587177, 11.1185236 46.0583485, 11.1184338 46.0581253, 11.1183545 46.0578751, 11.1182638 46.0576447, 11.1182566 46.0576401, 11.1182024 46.0574948, 11.1183492 46.057411, 11.1183054 46.0573083, 11.1182458 46.0564311, 11.1182516 46.0564056, 11.1182989 46.056195, 11.1183886 46.0557726, 11.1184001 46.0557213, 11.118423 46.0555867, 11.118424 46.0555678, 11.1184206 46.0554826, 11.1183344 46.0551998, 11.1182918 46.0551188, 11.1182513 46.055052, 11.1181893 46.0539874, 11.1184937 46.0534403, 11.1185143 46.0534124, 11.1186736 46.0530782, 11.1187289 46.0529696, 11.1188443 46.052673)"
