osmid,y,x,street_count,highway,ref,geometry,lts,message
257031811,46.0707196,11.133849,3,,,POINT (11.133849 46.0707196),4.0,Node LTS is max intersecting LTS
257040639,46.0699211,11.1273286,3,,,POINT (11.1273286 46.0699211),4.0,Node LTS is max intersecting LTS
257040645,46.0705348,11.1267956,3,,,POINT (11.1267956 46.0705348),4.0,Node LTS is max intersecting LTS
257040895,46.0765783,11.133671,3,,,POINT (11.133671 46.0765783),4.0,Node LTS is max intersecting LTS
257095472,46.0052898,11.1338264,4,crossing,,POINT (11.1338264 46.0052898),4.0,Node LTS is max intersecting LTS
257350932,46.066779,11.1222948,3,,,POINT (11.1222948 46.066779),2.0,Node LTS is max intersecting LTS
257351826,46.0672512,11.1264493,3,,,POINT (11.1264493 46.0672512),3.0,Node LTS is max intersecting LTS
257351828,46.0671801,11.1253736,4,crossing,,POINT (11.1253736 46.0671801),2.0,Node LTS is max intersecting LTS
257352083,46.0673609,11.1241032,4,,,POINT (11.1241032 46.0673609),2.0,Node LTS is max intersecting LTS
257353492,46.0682835,11.1238873,3,,,POINT (11.1238873 46.0682835),2.0,Node LTS is max intersecting LTS
257354653,46.0690525,11.1237112,1,,,POINT (11.1237112 46.0690525),,Node not found in edges
257437788,46.0670336,11.1242105,4,,,POINT (11.1242105 46.0670336),2.0,Node LTS is max intersecting LTS
257437793,46.0670609,11.1244589,3,,,POINT (11.1244589 46.0670609),2.0,Node LTS is max intersecting LTS
257442796,46.0672696,11.1221685,3,,,POINT (11.1221685 46.0672696),1.0,Node LTS is max intersecting LTS
257448132,46.067622,11.1221158,3,,,POINT (11.1221158 46.067622),1.0,Node LTS is max intersecting LTS
257453198,46.0681489,11.122547,3,,,POINT (11.122547 46.0681489),1.0,Node LTS is max intersecting LTS
257454713,46.0682031,11.1229202,3,,,POINT (11.1229202 46.0682031),1.0,Node LTS is max intersecting LTS
257457362,46.0685395,11.1234315,3,,,POINT (11.1234315 46.0685395),1.0,Node LTS is max intersecting LTS
257457364,46.0685408,11.1232271,1,,,POINT (11.1232271 46.0685408),1.0,Node LTS is max intersecting LTS
257459399,46.0683766,11.1242292,3,,,POINT (11.1242292 46.0683766),2.0,Node LTS is max intersecting LTS
257466557,46.0652978,11.1247566,1,,,POINT (11.1247566 46.0652978),,Node not found in edges
