osmid,y,x,street_count,highway,ref,geometry,lts,message
6341494060,44.5268367,11.3627881,1,,,POINT (11.3627881 44.5268367),,Node not found in edges
6341494061,44.5267776,11.3629399,3,,,POINT (11.3629399 44.5267776),,Node not found in edges
6341494064,44.526691,11.362562,3,,,POINT (11.362562 44.526691),,Node not found in edges
6341494066,44.526837,11.3626494,4,,,POINT (11.3626494 44.526837),,Node not found in edges
6341494069,44.5269278,11.3626461,3,,,POINT (11.3626461 44.5269278),,Node not found in edges
6341550396,44.5295698,11.3634744,4,,,POINT (11.3634744 44.5295698),,Node not found in edges
6341550397,44.5294097,11.3633895,4,,,POINT (11.3633895 44.5294097),,Node not found in edges
6341550398,44.5295389,11.3635869,4,,,POINT (11.3635869 44.5295389),,Node not found in edges
6341550399,44.5293795,11.3635015,4,,,POINT (11.3635015 44.5293795),,Node not found in edges
6341550400,44.529599,11.3633681,4,,,POINT (11.3633681 44.529599),,Node not found in edges
6341550401,44.529438,11.3632843,4,,,POINT (11.3632843 44.529438),,Node not found in edges
6341550402,44.5291004,11.3632256,4,,,POINT (11.3632256 44.5291004),,Node not found in edges
6341550403,44.529071,11.3633362,4,,,POINT (11.3633362 44.529071),,Node not found in edges
6341550404,44.5291277,11.3631229,4,,,POINT (11.3631229 44.5291277),,Node not found in edges
6341550405,44.5289916,11.3636343,3,,,POINT (11.3636343 44.5289916),,Node not found in edges
6341550411,44.529304,11.3639074,3,,,POINT (11.3639074 44.529304),3.0,Node LTS is max intersecting LTS
6341550412,44.529362,11.3639389,3,,,POINT (11.3639389 44.529362),,Node not found in edges
6341550413,44.5289772,11.3636882,3,,,POINT (11.3636882 44.5289772),,Node not found in edges
6341550414,44.5290551,11.3633957,3,,,POINT (11.3633957 44.5290551),,Node not found in edges
6341550418,44.5288304,11.3636143,3,,,POINT (11.3636143 44.5288304),,Node not found in edges
6341550422,44.5289247,11.3638309,3,,,POINT (11.3638309 44.5289247),2.0,Node LTS is max intersecting LTS
