node,coordinates,degree_centrality,closeness_centrality,betweenness_centrality
9205502,"(663854.5392975581, 5102596.319199408)",8,9.992391103328295e-05,0.0032096642149193884
2360741904,"(663848.066753661, 5102597.536621261)",4,9.9847702288397e-05,0.0002540867862201152
2022158726,"(663859.1180242165, 5102595.585028335)",4,9.988914163894672e-05,0.00025426124813516073
277406678,"(663852.5247990098, 5102498.734887466)",5,9.845255534389188e-05,0.003069211044611969
262315233,"(663857.6233459287, 5102607.819942158)",4,0.00010001039909855292,0.009892477716999174
2360741908,"(663835.8474196806, 5102615.156317442)",4,0.00010008878954434696,0.0002694711550923104
2022158727,"(663874.1052351234, 5102597.852102866)",4,9.979561374960992e-05,0.00026001622559250617
193579791,"(663506.1495012597, 5105564.336937539)",6,9.523517262606183e-05,0.025106361046368368
1637509998,"(663510.0999772041, 5105561.251034681)",6,9.525210977321263e-05,0.013396975771128009
6030076799,"(663497.9081834464, 5105571.088973658)",6,9.51239605315561e-05,0.013427681068176019
193579793,"(663535.9540061608, 5105591.869683574)",4,9.487913371808206e-05,0.023987140280829124
1637509990,"(663501.7735112708, 5105540.082412687)",4,9.532707231505546e-05,0.012003059056001712
906750364,"(663798.1728476231, 5105696.783332264)",6,9.628833351295839e-05,0.002152520170788155
430277581,"(663494.1395238424, 5105574.902418123)",6,9.504749894442797e-05,0.0030545585094873024
193580878,"(663488.7673550898, 5105566.865437573)",3,9.514025817365762e-05,0.004891748964656898
240052169,"(664405.6681575826, 5097306.108297878)",6,5.7216802652345924e-05,0.004353028696909608
6205139455,"(664405.48680771, 5097310.873233018)",4,5.720309924004038e-05,0.0015670780958960142
11278038818,"(664409.1900086484, 5097305.935414641)",4,5.722519112163266e-05,0.0028273252637492576
258597590,"(664298.0507801372, 5097304.394521137)",6,5.662019102192309e-05,0.004303952786781221
303382379,"(664402.5126299658, 5097449.36192951)",6,5.7142915961731846e-05,0.0023456902940483526
257040639,"(664515.0027172109, 5104016.296753129)",6,0.00010549192543451938,0.0251772990736172
1252285088,"(664523.178284721, 5104016.748960578)",2,0.00010531698434391032,0.0
431973679,"(664513.3291825331, 5104023.023147506)",4,0.00010544330592700908,0.025134698645997905
