u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,oneway,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
1894585980,1894586012,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781414.1594978466 5115558.120315502, 781420.3611176263 5115561.956604429, 781442.2574685568 5115570.554923171, 781467.0108693816 5115578.961639822, 781493.5751186772 5115587.373683672, 781516.8992212426 5115596.227119145, 781526.7471182349 5115599.707706947, 781534.9139893868 5115608.444054565, 781541.4155249803 5115616.870123342, 781551.1241470028 5115636.020339713, 781561.0751369607 5115657.475213802, 781577.0045316772 5115689.135829054, 781587.0289870261 5115710.672072494, 781595.3504284383 5115729.179720198, 781598.8508378996 5115738.570217895, 781601.5287833777 5115744.972550648, 781607.4081317012 5115748.404577497, 781615.0522390448 5115751.16060977, 781627.1987184434 5115753.121496596, 781635.4433336714 5115756.2836860325, 781643.7170762101 5115761.506928316, 781653.3997977944 5115772.617761384, 781661.9233037151 5115787.226941798, 781670.0304734379 5115802.473884564, 781675.0472691853 5115815.073780555, 781677.9046722834 5115825.147337404, 781678.8892301898 5115853.237958932, 781679.4462883237 5115867.726022369, 781681.4415719411 5115877.359158238, 781685.1582844569 5115895.510628392, 781690.4084100252 5115922.060463429, 781696.2838520855 5115938.70792908, 781705.5718927959 5115959.575992735, 781712.8451394167 5115977.63488645, 781718.2735454452 5115988.850934896, 781721.050038748 5115993.777111698, 781719.0219544931 5115999.172730998, 781719.7956446592 5116006.923840456)",591.999,0,s3,1,1,5.047623673456927,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894585980,1894585978,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781414.1594978466 5115558.120315502, 781405.5892340464 5115550.579181423, 781394.7387524786 5115537.912187736, 781347.1292851474 5115475.194186734, 781336.5805231386 5115464.211188242, 781328.624212859 5115456.44228952)",132.959,0,s3,1,1,2.850799065709917,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894585980,3445307415,0,4.57676e+08,,['MV 06'],cycleway,,"LINESTRING (781414.1594978466 5115558.120315502, 781408.0823483389 5115564.554821242, 781399.0923637359 5115570.877882735, 781387.8590055667 5115571.4421666395, 781378.383523949 5115573.167108767, 781366.332941923 5115575.853813977, 781357.1210500167 5115579.761914747, 781353.95193438 5115585.739869256)",69.659,0,s3,1,1,7.34456139824497,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894586012,1894586014,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781719.7956446592 5116006.923840456, 781723.9077066933 5116014.616860075, 781733.1982771112 5116031.888967166, 781740.006623255 5116047.766631672)",45.568,0,s3,1,1,1.3511269250026408,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894586012,1894585980,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781719.7956446592 5116006.923840456, 781719.0219544931 5115999.172730998, 781721.050038748 5115993.777111698, 781718.2735454452 5115988.850934896, 781712.8451394167 5115977.63488645, 781705.5718927959 5115959.575992735, 781696.2838520855 5115938.70792908, 781690.4084100252 5115922.060463429, 781685.1582844569 5115895.510628392, 781681.4415719411 5115877.359158238, 781679.4462883237 5115867.726022369, 781678.8892301898 5115853.237958932, 781677.9046722834 5115825.147337404, 781675.0472691853 5115815.073780555, 781670.0304734379 5115802.473884564, 781661.9233037151 5115787.226941798, 781653.3997977944 5115772.617761384, 781643.7170762101 5115761.506928316, 781635.4433336714 5115756.2836860325, 781627.1987184434 5115753.121496596, 781615.0522390448 5115751.16060977, 781607.4081317012 5115748.404577497, 781601.5287833777 5115744.972550648, 781598.8508378996 5115738.570217895, 781595.3504284383 5115729.179720198, 781587.0289870261 5115710.672072494, 781577.0045316772 5115689.135829054, 781561.0751369607 5115657.475213802, 781551.1241470028 5115636.020339713, 781541.4155249803 5115616.870123342, 781534.9139893868 5115608.444054565, 781526.7471182349 5115599.707706947, 781516.8992212426 5115596.227119145, 781493.5751186772 5115587.373683672, 781467.0108693816 5115578.961639822, 781442.2574685568 5115570.554923171, 781420.3611176263 5115561.956604429, 781414.1594978466 5115558.120315502)",591.999,0,s3,1,1,5.047623673456926,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894586014,1894586012,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781740.006623255 5116047.766631672, 781733.1982771112 5116031.888967166, 781723.9077066933 5116014.616860075, 781719.7956446592 5116006.923840456)",45.568,0,s3,1,1,1.3511269250026408,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307007,3445307011,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781448.4105019891 5117072.714656317, 781452.1445194819 5117041.289222909, 781454.1609798498 5117028.556024125, 781468.0558798574 5117006.381704633, 781478.7461791601 5116981.198874081)",98.012,0,s3,1,1,0.7694149940117069,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307011,6684814128,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781478.7461791601 5116981.198874081, 781484.9182046213 5116961.05238045, 781495.2324756406 5116934.961610889, 781498.0460422266 5116921.218486117)",63.126,0,s3,1,1,1.995659323468327,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307011,3445307007,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781478.7461791601 5116981.198874081, 781468.0558798574 5117006.381704633, 781454.1609798498 5117028.556024125, 781452.1445194819 5117041.289222909, 781448.4105019891 5117072.714656317)",98.012,0,s3,1,1,0.7694149940117067,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307035,4537840705,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781509.5287185779 5116467.097194533, 781508.035749603 5116428.840626935, 781507.2839998594 5116420.9458276285)",46.205,0,s3,1,1,2.7267341949531754,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307035,6684814180,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781509.5287185779 5116467.097194533, 781516.8647707806 5116488.331819571, 781524.332513033 5116514.615996687, 781531.4709084914 5116540.150246477, 781535.7531978155 5116564.851882235, 781539.7797435322 5116587.3707369, 781541.2978455408 5116601.491001633, 781545.5555623948 5116618.976995881, 781547.0731568629 5116648.940261362, 781547.8648116833 5116670.954232766, 781551.7763340939 5116688.056926974, 781557.8409447139 5116697.710016937, 781563.9146419403 5116714.9120717645, 781565.0768629618 5116736.943081951, 781564.9026405681 5116764.3124519065, 781557.1698425099 5116783.05115628, 781552.3945744634 5116787.107019067)",331.482,0,s3,1,1,4.42798311492684,3-5: mild,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307415,4537840691,0,4.1831e+08,,,cycleway,,"LINESTRING (781353.95193438 5115585.739869256, 781338.396473194 5115595.313248187, 781328.6202115652 5115613.880537537, 781339.1778315157 5115639.504475411, 781351.3683431034 5115654.1701110825, 781360.5213049634 5115666.213583734, 781364.3631049385 5115674.7511707675, 781368.2016707584 5115680.661111033, 781370.0583608295 5115689.953727543, 781375.8203196366 5115703.533865823, 781385.0125042648 5115718.429359703, 781386.3924052191 5115726.642416696, 781386.3982525314 5115735.282270544)",176.073,0,s3,1,1,6.564884950012785,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307415,1894585980,0,4.57676e+08,,['MV 06'],cycleway,,"LINESTRING (781353.95193438 5115585.739869256, 781357.1210500167 5115579.761914747, 781366.332941923 5115575.853813977, 781378.383523949 5115573.167108767, 781387.8590055667 5115571.4421666395, 781399.0923637359 5115570.877882735, 781408.0823483389 5115564.554821242, 781414.1594978466 5115558.120315502)",69.659,0,s3,1,1,7.344561398244971,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3506974439,481334605,0,1.78879e+08,,,cycleway,,"LINESTRING (780690.3614809298 5113459.755326255, 780697.6096801505 5113470.218328403, 780707.7707227948 5113484.366170968, 780721.7241454578 5113501.927391355, 780736.8040444261 5113516.189075995, 780755.2535854869 5113532.442036055)",97.746,0,s3,1,1,1.7091255876451956,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4144795322,912306659,0,1.30072e+08,,,cycleway,,"LINESTRING (782447.2646965958 5117607.715451075, 782428.259098988 5117619.509361438, 782403.2603807373 5117635.257848914, 782354.8721242268 5117667.77562913, 782318.3215281623 5117699.814988842, 782291.6981710632 5117726.990096682)",196.45,0,s3,1,1,2.1553327146297216,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4187439196,4537840691,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781410.2740798204 5115808.812852714, 781409.0019331437 5115800.782867356, 781407.5162516991 5115781.219915957, 781397.5442413943 5115759.374676309, 781387.7866610466 5115738.251846906, 781386.3982525314 5115735.282270544)",78.256,0,s3,1,1,4.2441703669983895,3-5: mild,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
