u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
614073629,614073639,0,4.8338e+07,,,track,,"LINESTRING (655719.3150925852 5079425.695089371, 655728.9388087838 5079428.549464887, 655734.6355193414 5079433.717604104, 655735.5768884838 5079440.155895563, 655733.4647923475 5079450.008258804, 655731.6934731835 5079459.9025379745, 655733.5940964569 5079467.12090647)",51.806,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073629,614867949,0,4.8338e+07,,,track,,"LINESTRING (655719.3150925852 5079425.695089371, 655714.6235265691 5079425.35485846, 655705.338811662 5079424.776935059, 655695.3370270295 5079424.292182177, 655688.1850720453 5079422.622795129, 655682.9592460766 5079418.500431243, 655679.1027008387 5079413.990015815, 655669.8428001622 5079405.619604752, 655664.1047299496 5079400.2392632365)",64.175,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073639,614073646,0,4.8338e+07,,,track,,"LINESTRING (655733.5940964569 5079467.12090647, 655740.8311125406 5079468.803603996, 655751.0387693199 5079471.294707629, 655756.4396086575 5079474.632209755, 655758.5398746418 5079480.087967502, 655763.99963973 5079491.898280336, 655768.0852444777 5079495.636306655, 655777.0206506622 5079493.726408062, 655827.1015799497 5079487.703739981)",108.035,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073639,614073629,0,4.8338e+07,,,track,,"LINESTRING (655733.5940964569 5079467.12090647, 655731.6934731835 5079459.9025379745, 655733.4647923475 5079450.008258804, 655735.5768884838 5079440.155895563, 655734.6355193414 5079433.717604104, 655728.9388087838 5079428.549464887, 655719.3150925852 5079425.695089371)",51.806,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073646,614867969,0,4.8338e+07,,,track,,"LINESTRING (655827.1015799497 5079487.703739981, 655831.7850831986 5079484.964383931, 655835.0946065737 5079472.296147745, 655836.1521168398 5079449.087736774, 655834.6233729374 5079436.35342156, 655838.9350335156 5079428.012753706, 655847.4591597264 5079428.560632912, 655858.2533715704 5079432.13391642, 655885.9577405623 5079442.291511761, 655908.6184920177 5079456.835940205)",140.153,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073646,835787150,0,4.8338e+07,,,track,,"LINESTRING (655827.1015799497 5079487.703739981, 655814.6680625107 5079499.586700674, 655800.0826364775 5079509.925873669, 655786.8588687053 5079523.890173102, 655780.260259883 5079537.298421253, 655780.7031597818 5079549.0382259805)",80.941,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073646,614073639,0,4.8338e+07,,,track,,"LINESTRING (655827.1015799497 5079487.703739981, 655777.0206506622 5079493.726408062, 655768.0852444777 5079495.636306655, 655763.99963973 5079491.898280336, 655758.5398746418 5079480.087967502, 655756.4396086575 5079474.632209755, 655751.0387693199 5079471.294707629, 655740.8311125406 5079468.803603996, 655733.5940964569 5079467.12090647)",108.035,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073664,614073674,0,4.8338e+07,,,track,,"LINESTRING (656102.5103539827 5079479.704716326, 656084.7261127239 5079473.598077867)",18.757,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073664,614868028,0,4.84102e+07,,,track,,"LINESTRING (656102.5103539827 5079479.704716326, 656085.1081629201 5079484.647128754)",18.046,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073664,550498065,0,4.8338e+07,,,track,,"LINESTRING (656102.5103539827 5079479.704716326, 656159.2798817775 5079509.172717671, 656171.6743852304 5079513.353869001, 656186.9345935987 5079521.887416709, 656203.0132088952 5079531.853525344, 656210.2876641543 5079539.440989599)",123.705,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073668,614073674,0,4.8338e+07,,,track,,"LINESTRING (655980.0496483464 5079478.8557120515, 656046.4309649029 5079471.555281895, 656066.768019272 5079471.000163905, 656084.7261127239 5079473.598077867)",104.988,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073668,614867969,0,4.8338e+07,,,track,,"LINESTRING (655980.0496483464 5079478.8557120515, 655948.6186556894 5079476.641661084, 655936.1830444725 5079473.160317793, 655924.5359887931 5079467.052939198, 655908.6184920177 5079456.835940205)",76.307,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073674,614073664,0,4.8338e+07,,,track,,"LINESTRING (656084.7261127239 5079473.598077867, 656102.5103539827 5079479.704716326)",18.757,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073674,614073668,0,4.8338e+07,,,track,,"LINESTRING (656084.7261127239 5079473.598077867, 656066.768019272 5079471.000163905, 656046.4309649029 5079471.555281895, 655980.0496483464 5079478.8557120515)",104.988,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073674,614868033,0,4.84102e+07,,,track,,"LINESTRING (656084.7261127239 5079473.598077867, 656077.343355824 5079468.142556858, 656056.188500328 5079461.6842986485, 656050.5583796165 5079458.818796406)",37.531,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614073689,9208058,0,2.30404e+08,['2'],['Via per Marco'],primary,,"LINESTRING (655324.4693647497 5080245.295202529, 655324.4552089875 5080250.197531868, 655324.1132966217 5080286.453260407, 655324.0566638479 5080306.062579132, 655323.9015177361 5080361.822561947, 655325.6594422066 5080383.4117699815, 655329.0680421606 5080400.195266498, 655332.9342250861 5080417.935201495, 655341.6271588447 5080446.390862786, 655343.4040717643 5080452.349771061)",209.535,m12,4,1,,,2.0,90.0,Setting LTS to 4 because maxspeed is greater than 50 km/h.,"mixed traffic, speed $>$ 50 km/h"
614073689,8441188986,0,2.30404e+08,['2'],['Via per Marco'],primary,,"LINESTRING (655324.4693647497 5080245.295202529, 655325.9841179334 5080217.718059439, 655329.6686287173 5080197.16579742, 655335.3300897606 5080177.697001686, 655391.6676846298 5080048.326984936, 655402.6496709624 5080018.052353813, 655410.5770461246 5079986.922916967)",274.263,m12,4,1,,,2.0,90.0,Setting LTS to 4 because maxspeed is greater than 50 km/h.,"mixed traffic, speed $>$ 50 km/h"
614867882,1039916981,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655689.8493346046 5078798.433425852, 655707.2857857078 5078767.443089103)",35.552,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867882,618787712,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655689.8493346046 5078798.433425852, 655635.0733793757 5078890.353322053, 655628.4440807633 5078901.570874734)",120.002,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867892,306095567,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655825.8285978609 5078642.507459895, 655831.2270794886 5078641.3313424)",5.511,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867892,320236062,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655825.8285978609 5078642.507459895, 655810.0661592997 5078647.047272847, 655787.5624051699 5078659.8223023275)",42.192,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867892,614867893,0,4.84102e+07,,,residential,,"LINESTRING (655825.8285978609 5078642.507459895, 655828.465253003 5078650.744891987, 655830.5653994525 5078658.379625858)",16.571,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867893,614867923,0,4.84102e+07,,,residential,,"LINESTRING (655830.5653994525 5078658.379625858, 655844.470433417 5078720.60761225, 655857.7506805484 5078760.085235168, 655863.5015160178 5078791.85831999, 655862.9814742937 5078796.781286944, 655860.7102013426 5078800.28168315, 655839.8223897313 5078802.88041905, 655837.9669626055 5078805.601956001, 655836.045710881 5078818.04940074)",183.753,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867893,614867892,0,4.84102e+07,,,residential,,"LINESTRING (655830.5653994525 5078658.379625858, 655828.465253003 5078650.744891987, 655825.8285978609 5078642.507459895)",16.571,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867893,614867910,0,4.84102e+07,,,residential,,"LINESTRING (655830.5653994525 5078658.379625858, 655838.1269098013 5078657.391299561, 655842.4234936212 5078659.86728677, 655847.0193742894 5078666.508639425, 655852.6895434249 5078685.428175607)",40.382,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867894,320236062,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655781.3971570317 5078664.303231113, 655787.5624051699 5078659.8223023275)",7.61,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867894,299661324,0,2.72969e+07,,['Via San Romedio'],tertiary,,"LINESTRING (655781.3971570317 5078664.303231113, 655770.4037922109 5078672.309276581, 655742.1516971916 5078705.45124938)",57.095,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867894,614867899,0,4.84102e+07,,['Via San Romedio'],residential,,"LINESTRING (655781.3971570317 5078664.303231113, 655782.655677687 5078678.53153279, 655776.9189655497 5078715.118610511, 655774.6728991189 5078723.8002886325, 655777.676423155 5078732.280379935, 655797.7409348098 5078732.150986193)",89.32,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867899,614867894,0,4.84102e+07,,['Via San Romedio'],residential,,"LINESTRING (655797.7409348098 5078732.150986193, 655777.676423155 5078732.280379935, 655774.6728991189 5078723.8002886325, 655776.9189655497 5078715.118610511, 655782.655677687 5078678.53153279, 655781.3971570317 5078664.303231113)",89.32,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867910,614867893,0,4.84102e+07,,,residential,,"LINESTRING (655852.6895434249 5078685.428175607, 655847.0193742894 5078666.508639425, 655842.4234936212 5078659.86728677, 655838.1269098013 5078657.391299561, 655830.5653994525 5078658.379625858)",40.382,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867923,614867893,0,4.84102e+07,,,residential,,"LINESTRING (655836.045710881 5078818.04940074, 655837.9669626055 5078805.601956001, 655839.8223897313 5078802.88041905, 655860.7102013426 5078800.28168315, 655862.9814742937 5078796.781286944, 655863.5015160178 5078791.85831999, 655857.7506805484 5078760.085235168, 655844.470433417 5078720.60761225, 655830.5653994525 5078658.379625858)",183.753,m9,2,1,,,2.0,50.0,Setting LTS to 2 because maxspeed is up to 50 km/h and lanes are 2 or less and highway='residential'.,"mixed traffic, speed $\leq$ 50 km/h, highway $=$ ""residential"",$\leq$ 2 lanes"
614867949,614073629,0,4.8338e+07,,,track,,"LINESTRING (655664.1047299496 5079400.2392632365, 655669.8428001622 5079405.619604752, 655679.1027008387 5079413.990015815, 655682.9592460766 5079418.500431243, 655688.1850720453 5079422.622795129, 655695.3370270295 5079424.292182177, 655705.338811662 5079424.776935059, 655714.6235265691 5079425.35485846, 655719.3150925852 5079425.695089371)",64.175,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867949,614867957,0,4.84102e+07,,,track,,"LINESTRING (655664.1047299496 5079400.2392632365, 655668.9811957254 5079394.147234304, 655674.2461479679 5079391.455717073, 655679.8643134708 5079387.383425716, 655685.9118146865 5079381.065130805, 655689.743658225 5079375.736195847, 655693.2377287343 5079369.009125507, 655700.2774180961 5079349.175004812, 655704.2638965471 5079347.896628158, 655724.2031550615 5079350.198616623)",88.749,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867957,614867949,0,4.84102e+07,,,track,,"LINESTRING (655724.2031550615 5079350.198616623, 655704.2638965471 5079347.896628158, 655700.2774180961 5079349.175004812, 655693.2377287343 5079369.009125507, 655689.743658225 5079375.736195847, 655685.9118146865 5079381.065130805, 655679.8643134708 5079387.383425716, 655674.2461479679 5079391.455717073, 655668.9811957254 5079394.147234304, 655664.1047299496 5079400.2392632365)",88.749,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867969,614073668,0,4.8338e+07,,,track,,"LINESTRING (655908.6184920177 5079456.835940205, 655924.5359887931 5079467.052939198, 655936.1830444725 5079473.160317793, 655948.6186556894 5079476.641661084, 655980.0496483464 5079478.8557120515)",76.307,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867969,614073646,0,4.8338e+07,,,track,,"LINESTRING (655908.6184920177 5079456.835940205, 655885.9577405623 5079442.291511761, 655858.2533715704 5079432.13391642, 655847.4591597264 5079428.560632912, 655838.9350335156 5079428.012753706, 655834.6233729374 5079436.35342156, 655836.1521168398 5079449.087736774, 655835.0946065737 5079472.296147745, 655831.7850831986 5079484.964383931, 655827.1015799497 5079487.703739981)",140.153,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
